Degree,Enrolment number
Bachelor of Laws,690
Bachelor of Social Science ,1007
Bachelor of Business management,3475
Bachelor of Science (Information Systems),1707
Bachelor of Science (Computer Science),246
Total enrolment for 2021,7125
