Degree,Enrolment number
Bachelor of Laws,681
Bachelor of Social Science ,970
Bachelor of Business Management,3155
Bachelor of Science (Information Systems),1607
Bachelor of Science (Computer Science),155
Total enrolment for 2020,6568
