Degree,Enrolment number
Bachelor of Arts in Philosophy,179
Bachelor of Social Sciences in Psychology,538
Bachelor of Social Sciences in Sociology,438
Bachelor of Business,2171
Bachelor of Engineering (Computer engineering),358
Bachelor of Engineering (Computer science),1551
Bachelor of Science in Data Science and Artificial Intelligence,150
Bachelor of Engineering (Aerospace engineering),471
Bachelor of Engineering (Chemical and Biomolecular engineering),585
Bachelor of Engineering (Civil),390
Bachelor of Engineering (Electrical and Electronic engineering),1802
Bachelor of Engineering,808
Bachelor of Engineering (Environmental engineering),134
Bachelor of Engineering (Materials engineering),770
Bachelor of Engineering (Mechanical engineering),1670
Bachelor of Engineering Science+ Master of Science in Technology Management (Renaissance engineering),284
Total enrolment for 2020,12299
